"regio"	"comarca"	"municipi"	"osm_type"	"osm_id"	"name:ca"	"name"	"wikidata"	"wikipedia"	"place"	"capital"	"admin_level"
"Franja"	"Baix Aragó"	"Aiguaviva de Bergantes"	"node"	308306630	"Aiguaviva de Bergantes"	"Aguaviva / Aiguaviva de Bergantes"	"Q1770476"	"es:Aguaviva (Teruel)"	"village"	8	
"Franja"	"Baix Aragó"	"Bellmunt de Mesquí"	"node"	793210842	"Bellmunt de Mesquí"	"Belmonte de San José / Bellmunt de Mesquí"	"Q1652468"	"ca:Bellmunt de Mesquí"	"village"	8	
"Franja"	"Baix Aragó"	"la Canyada de Beric"	"node"	1446993987	"la Canyada de Beric"	"La Cañada de Verich / la Canyada de Beric"	"Q1553963"	"ca:La Canyada de Beric"	"village"	8	
"Franja"	"Baix Aragó"	"la Codonyera"	"node"	1446993989	"la Codonyera"	"La Codoñera / la Codonyera"	"Q1651558"	"ca:La Codonyera"	"village"	8	
"Franja"	"Baix Aragó"	"la Ginebrosa"	"node"	3717853177	"la Ginebrosa"	"La Ginebrosa"	"Q24015109"		"village"	8	
"Franja"	"Baix Aragó"	"la Sorollera"	"node"	1446993988	"la Sorollera"	"La Cerollera"	"Q1651537"	"ca:La Sorollera"	"village"	8	
"Franja"	"Baix Aragó"	"la Torre de Vilella"	"node"	1446994155	"la Torre de Vilella"	"Torrevelilla / Torre de Vilella"	"Q1553894"	"es:Torrevelilla"	"village"	8	
"Franja"	"Baix Aragó-Casp"	"Faió"	"node"	739073791	"Faió"	"Fayón / Faió"	"Q1639270"	"es:Fayón"	"village"	8	
"Franja"	"Baix Aragó-Casp"	"Favara"	"node"	308372851	"Favara de Matarranya"	"Fabara / Favara"	"Q956450"	"ca:Favara de Matarranya"	"village"	8	
"Franja"	"Baix Aragó-Casp"	"Maella"	"node"	308503673	"Maella"	"Maella"	"Q956524"	"es:Maella"	"village"	8	
"Franja"	"Baix Aragó-Casp"	"Nonasp"	"node"	739074054	"Nonasp"	"Nonaspe / Nonasp"	"Q1628416"	"ca:Nonasp"	"village"	8	
"Franja"	"Baix Cinca"	"Fraga"	"node"	359920433	"Fraga"	"Fraga"	"Q904212"	"ca:Fraga"	"town"	7	
"Franja"	"Baix Cinca"	"Mequinensa"	"node"	308338651	"Mequinensa"	"Mequinenza / Mequinensa"	"Q837051"	"ca:Mequinensa"	"village"	8	
"Franja"	"Baix Cinca"	"Saidí"	"node"	359918992	"Saidí"	"Zaidín"	"Q144331"	"ca:Saidí"	"village"	8	
"Franja"	"Baix Cinca"	"Torrent de Cinca"	"node"	1446994154	"Torrent de Cinca"	"Torrente de Cinca"	"Q983642"	"ca:Torrent de Cinca"	"village"	8	
