"name:ca"	"regio"	"comarca"	"osm_id"	"osm_type"	"name"	"wikipedia"	"wikidata"	"admin_level"
"Aiguaviva de Bergantes"	"Franja"	"Baix Aragó"	"345064"	"relation"	"Aguaviva / Aiguaviva de Bergantes"	"es:Aguaviva (Teruel)"	"Q1770476"	"8"
"Bellmunt de Mesquí"	"Franja"	"Baix Aragó"	"341056"	"relation"	"Belmonte de San José / Bellmunt de Mesquí"	"es:Belmonte de San José"	"Q1652468"	"8"
"la Canyada de Beric"	"Franja"	"Baix Aragó"	"345972"	"relation"	"La Cañada de Verich / la Canyada de Beric"	"es:La Cañada de Verich"	"Q1553963"	"8"
"la Codonyera"	"Franja"	"Baix Aragó"	"343894"	"relation"	"La Codoñera / la Codonyera"	"es:La Codoñera"	"Q1651558"	"8"
"la Ginebrosa"	"Franja"	"Baix Aragó"	"342544"	"relation"	"La Ginebrosa"	"es:La Ginebrosa"	"Q1651455"	"8"
"la Sorollera"	"Franja"	"Baix Aragó"	"341762"	"relation"	"La Cerollera"	"es:La Cerollera"	"Q1651537"	"8"
"la Torre de Vilella"	"Franja"	"Baix Aragó"	"344648"	"relation"	"Torrevelilla / Torre de Vilella"	"es:Torrevelilla"	"Q1553894"	"8"
"Faió"	"Franja"	"Baix Aragó-Casp"	"345467"	"relation"	"Fayón / Faió"	"es:Fayón"	"Q1639270"	"8"
"Favara"	"Franja"	"Baix Aragó-Casp"	"345466"	"relation"	"Fabara / Favara"	"es:Fabara"	"Q956450"	"8"
"Maella"	"Franja"	"Baix Aragó-Casp"	"340454"	"relation"	"Maella"	"es:Maella"	"Q956524"	"8"
"Nonasp"	"Franja"	"Baix Aragó-Casp"	"346643"	"relation"	"Nonaspe / Nonasp"	"es:Nonaspe"	"Q1628416"	"8"
"Fraga"	"Franja"	"Baix Cinca"	"341530"	"relation"	"Fraga"	"ca:Fraga"	"Q904212"	"8"
"Mequinensa"	"Franja"	"Baix Cinca"	"345154"	"relation"	"Mequinenza / Mequinensa"	"es:Mequinenza"	"Q837051"	"8"
"Saidí"	"Franja"	"Baix Cinca"	"344563"	"relation"	"Zaidín"	"ca:Saidí"	"Q144331"	"8"
